Recipient Balochi BantuKenya BantuSouthAfrica Druze EastSicilian English Hadza Han Ireland Japanese Makrani Mandenka Maya Naxi Russian Sardinian Saudi Scottish She Sindhi Surui Syrian Turkish UAE Uygur Yemeni
Druze34 15.638 2.449 1.190 64.154 9.086 4.391 0.518 9.117 6.815 8.586 13.507 3.081 8.451 2.401 19.291 23.257 9.338 4.346 2.272 15.277 2.207 12.718 15.752 8.670 4.286 1.824
Druze35 14.886 1.810 1.326 74.175 6.654 4.960 0.906 10.535 5.293 8.473 11.517 3.654 6.198 1.653 14.935 21.383 9.784 5.263 2.884 16.119 2.217 14.374 13.399 8.503 5.494 2.230
Druze36 10.341 1.098 0.640 138.535 6.466 3.444 0.263 6.420 2.711 5.880 11.546 2.447 5.828 1.634 9.878 16.076 3.825 2.572 1.547 7.800 1.251 8.173 7.920 7.993 2.800 1.534
Druze37 9.983 1.947 1.192 135.649 5.329 2.282 0.379 6.655 2.746 4.791 9.645 3.497 5.354 1.971 11.193 13.765 4.861 1.929 2.281 11.878 1.510 8.874 8.427 6.331 3.081 3.071
Druze38 13.992 1.684 1.078 53.266 8.011 7.715 0.524 9.842 7.462 8.560 16.397 3.927 7.251 2.202 22.335 28.849 9.993 4.380 3.154 14.919 2.844 13.647 14.751 5.444 4.451 1.946
Druze39 7.997 2.063 2.309 116.973 6.231 3.197 0.716 8.192 4.336 6.351 10.210 4.241 5.450 1.606 10.901 20.945 8.091 2.251 2.206 10.310 1.366 10.973 10.250 5.088 4.356 2.016
Druze40 12.040 2.043 1.087 71.476 8.317 5.043 0.637 11.097 6.429 8.966 13.720 4.361 7.425 3.302 16.133 22.938 7.314 5.802 3.543 13.143 2.395 13.091 13.381 8.027 5.035 1.877
Druze41 6.965 1.317 0.523 169.334 3.522 2.160 0.561 5.357 2.325 4.272 9.841 2.853 3.124 1.391 7.078 12.691 3.794 2.405 1.461 7.182 1.236 5.344 6.097 4.684 2.491 0.615
Druze42 10.415 1.513 0.829 104.390 7.439 4.826 0.611 7.609 5.303 5.871 10.622 2.551 4.927 1.792 15.832 21.720 6.665 4.044 2.139 10.939 1.948 11.853 10.835 7.825 4.449 1.675
EastSicilian1 14.257 3.101 1.850 35.856 11.427 6.210 0.828 12.363 8.655 9.477 14.830 5.185 7.950 2.822 23.779 30.292 6.746 7.047 2.976 15.954 2.841 16.217 13.083 6.864 5.601 2.411
EastSicilian2 14.500 1.792 1.075 36.514 11.020 8.077 0.605 10.615 9.583 10.126 14.759 4.025 7.887 3.143 21.493 34.364 8.666 5.717 3.375 16.458 2.865 11.548 16.531 5.887 6.358 1.641
EastSicilian3 13.878 2.184 1.595 38.756 9.195 4.834 0.792 10.599 6.710 7.910 15.872 3.794 8.263 2.979 22.429 33.820 8.939 5.785 3.278 15.140 3.613 13.787 16.436 8.522 6.591 2.924
EastSicilian4 12.504 1.621 1.171 39.746 10.715 5.807 0.592 10.484 5.010 8.991 16.019 3.621 7.989 3.132 22.371 31.165 10.604 6.087 3.058 17.511 2.283 15.426 15.623 9.225 5.248 2.620
EastSicilian5 14.181 3.458 1.439 32.494 9.067 8.806 0.822 10.339 10.232 8.807 16.678 3.477 8.124 2.286 25.332 26.040 9.324 8.551 2.896 16.046 2.203 14.647 16.633 7.571 5.157 4.014
EastSicilian6 14.716 2.523 1.110 34.774 8.859 9.451 0.669 10.155 8.142 9.284 14.017 5.097 7.721 2.660 25.236 27.547 9.647 7.206 2.580 16.350 1.870 16.437 15.585 7.750 6.069 3.168
EastSicilian7 13.824 2.903 1.711 37.826 12.292 5.620 0.647 9.930 9.528 7.634 15.613 5.024 7.849 2.260 24.860 35.488 8.137 5.329 2.653 13.968 2.703 15.343 14.544 5.802 4.975 2.161
EastSicilian8 14.162 2.070 1.368 35.826 8.796 6.815 0.495 11.184 10.098 8.794 16.154 3.504 6.997 2.215 22.685 31.802 10.185 8.701 3.165 17.404 2.366 13.136 14.600 8.158 5.798 2.143
EastSicilian9 11.030 1.688 1.726 34.896 10.619 6.479 0.698 11.326 7.304 9.196 14.763 3.654 8.543 2.448 23.119 35.206 9.063 6.583 3.338 16.897 2.656 16.356 16.564 5.809 6.178 2.482
EastSicilian10 13.430 6.276 2.878 29.003 9.544 5.847 2.460 10.450 7.272 8.042 13.293 9.183 7.966 2.181 24.280 32.585 10.865 5.186 2.816 17.247 2.706 16.106 15.418 5.806 5.204 2.577
English1 13.186 1.633 1.020 30.934 12.701 9.769 0.584 10.389 12.705 8.522 14.133 3.199 9.988 2.151 28.827 34.342 7.174 7.887 2.805 15.662 2.652 12.136 15.049 4.602 4.366 2.207
English2 16.254 1.548 0.885 24.484 10.934 9.405 0.356 10.226 9.938 8.079 15.310 2.448 9.480 2.619 40.653 29.171 5.100 15.339 2.445 16.152 2.216 10.850 12.805 4.177 5.768 1.982
English3 12.888 1.378 0.955 27.206 8.295 10.165 0.345 8.634 10.261 8.419 15.007 2.648 9.692 1.973 36.189 31.790 7.547 9.100 2.973 16.886 2.562 14.133 15.018 5.489 6.913 2.156
English4 13.631 1.328 0.952 33.098 8.166 6.751 0.483 8.739 9.087 8.588 13.745 3.835 9.052 2.124 36.118 29.324 6.706 10.701 2.559 17.213 2.293 14.732 14.669 5.436 6.511 2.782
English5 14.141 1.731 0.781 30.449 14.163 9.797 0.520 8.544 13.999 8.643 14.377 2.356 10.115 2.053 33.160 30.538 5.790 9.997 2.479 13.606 2.864 12.803 14.456 4.614 4.996 1.650
English6 14.237 1.792 1.229 32.541 10.584 7.963 0.378 9.841 10.518 7.693 15.870 2.928 9.465 2.988 34.930 28.020 4.860 8.815 2.547 16.467 2.654 12.994 15.010 6.287 6.519 1.495
Hadza1 7.024 25.967 20.887 15.355 3.584 1.886 46.059 10.035 2.459 7.734 8.492 46.806 6.831 2.547 7.801 10.266 4.658 1.682 2.800 8.391 1.913 6.881 5.413 6.712 3.340 3.100
